State or Region,Institution Sector,Sector Sort,Fall_2003,Fall_2004,Fall_2005,Fall_2006,Fall_2007,Fall_2008,Fall_2009,Fall_2010,Fall_2011,Fall_2012,Fall_2013,Fall_2014,Fall_2015,Fall_2016,Fall_2017,Fall_2018,Fall_2019,Fall_2020,Fall_2021
United States,Overall,1,86.5%,87.3%,88.1%,89.0%,90.6%,91.5%,91.9%,92.5%,93.1%,93.5%,95.0%,96.1%,96.7%,96.8%,97.0%,97.3%,97.1%,97.3%,97.4%
United States,All 4-year Institutions,2,87.9%,89.0%,89.4%,90.0%,91.6%,92.0%,92.6%,92.7%,93.2%,93.1%,95.0%,96.3%,96.9%,97.1%,97.2%,97.5%,97.5%,97.8%,97.8%
United States,All 2-year Institutions,3,84.3%,84.6%,85.9%,87.4%,88.9%,90.5%,90.6%,92.1%,92.9%,94.2%,95.0%,95.6%,96.2%,96.2%,96.5%,96.7%,96.3%,96.1%,96.1%
United States,All Public Institutions,4,89.9%,91.0%,92.1%,93.0%,94.6%,96.0%,96.7%,98.0%,98.5%,98.7%,99.1%,99.3%,99.4%,99.4%,99.5%,99.5%,99.5%,99.6%,99.6%
United States,"All Private, not-for-profit Institutions",5,82.5%,83.5%,84.3%,86.0%,88.4%,89.6%,91.9%,92.3%,92.2%,91.9%,93.2%,94.8%,95.2%,95.0%,95.3%,95.5%,95.4%,95.9%,95.9%
United States,"All Private, for-profit Institutions",6,45.2%,48.4%,49.3%,49.4%,51.9%,52.9%,53.2%,50.8%,53.2%,55.1%,63.5%,69.7%,71.8%,71.4%,71.2%,70.2%,67.6%,70.2%,71.4%
United States,"Public, 4-year",7,92.0%,93.6%,94.4%,94.9%,96.6%,97.5%,98.1%,98.8%,99.3%,98.7%,99.2%,99.4%,99.5%,99.4%,99.4%,99.5%,99.6%,99.6%,99.6%
United States,"Private, not-for-profit, 4-year",8,83.1%,84.0%,84.8%,86.4%,89.0%,90.2%,92.5%,92.8%,92.9%,92.5%,93.6%,95.2%,95.8%,95.7%,96.0%,96.2%,96.1%,96.3%,96.4%
United States,"Private, for-profit, 4-year",9,64.3%,65.3%,64.2%,62.9%,63.4%,63.0%,64.0%,61.8%,62.9%,63.9%,74.4%,79.9%,81.7%,81.7%,80.9%,81.4%,79.6%,84.0%,85.4%
United States,"Public, 2-year",10,87.6%,88.1%,89.6%,91.0%,92.4%,94.3%,95.1%,97.2%,97.7%,98.6%,99.1%,99.2%,99.4%,99.4%,99.5%,99.5%,99.4%,99.7%,99.8%
United States,"Private, not-for-profit, 2-year",11,40.9%,40.3%,42.4%,47.9%,34.2%,34.5%,35.0%,35.1%,30.7%,33.7%,39.5%,40.8%,40.4%,37.7%,29.4%,29.7%,28.4%,35.4%,35.4%
United States,"Private, for-profit, 2-year",12,8.7%,8.0%,6.3%,6.7%,11.0%,12.7%,12.0%,10.2%,15.6%,20.0%,19.7%,28.1%,26.7%,24.5%,26.9%,19.5%,11.6%,12.1%,12.1%
Midwest,Overall,1,87.6%,88.8%,88.9%,89.8%,92.8%,92.7%,93.2%,93.2%,93.8%,94.8%,96.5%,97.5%,97.8%,97.7%,98.2%,98.5%,98.4%,98.4%,98.4%
Midwest,All 4-year Institutions,2,85.2%,86.9%,86.7%,87.7%,91.9%,91.8%,92.7%,92.7%,93.2%,94.1%,96.5%,97.6%,98.0%,97.9%,98.4%,98.6%,98.7%,98.8%,98.9%
Midwest,All 2-year Institutions,3,92.1%,92.5%,93.4%,94.0%,94.7%,94.5%,94.2%,94.3%,95.0%,96.2%,96.7%,97.2%,97.1%,97.2%,97.9%,98.2%,97.6%,97.1%,97.1%
Midwest,All Public Institutions,4,91.3%,93.0%,94.1%,94.8%,99.0%,99.4%,99.4%,99.5%,99.5%,99.5%,99.5%,99.7%,99.7%,99.5%,99.9%,99.9%,99.8%,99.8%,99.8%
Midwest,"All Private, not-for-profit Institutions",5,81.0%,82.0%,83.6%,85.4%,86.2%,86.9%,92.6%,93.1%,93.1%,94.5%,95.2%,95.9%,96.3%,95.6%,96.3%,96.3%,96.1%,96.4%,96.5%
Midwest,"All Private, for-profit Institutions",6,58.6%,58.6%,48.1%,50.6%,51.8%,51.7%,50.3%,54.5%,55.0%,59.4%,76.2%,83.2%,84.7%,84.5%,85.2%,87.6%,88.4%,88.3%,88.3%
Midwest,"Public, 4-year",7,88.1%,90.7%,91.7%,92.6%,99.5%,99.8%,99.8%,99.8%,99.8%,99.8%,99.9%,99.9%,99.9%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%
Midwest,"Private, not-for-profit, 4-year",8,81.8%,82.8%,84.3%,85.9%,86.8%,87.5%,93.3%,93.8%,93.8%,95.0%,95.5%,96.1%,96.5%,95.8%,96.5%,96.5%,96.3%,96.5%,96.6%
Midwest,"Private, for-profit, 4-year",9,71.0%,70.5%,55.9%,58.1%,58.8%,59.0%,57.4%,62.4%,62.1%,64.6%,82.5%,89.8%,92.0%,92.7%,92.9%,95.5%,97.4%,98.3%,98.3%
Midwest,"Public, 2-year",10,95.2%,95.9%,97.2%,97.5%,98.4%,98.7%,99.0%,99.0%,99.1%,99.0%,99.1%,99.4%,99.4%,99.4%,99.8%,99.8%,99.4%,99.4%,99.4%
Midwest,"Private, not-for-profit, 2-year",11,12.7%,7.7%,21.2%,25.9%,8.8%,14.3%,8.7%,19.3%,12.4%,24.9%,43.8%,53.7%,48.3%,35.0%,32.0%,28.9%,36.5%,33.6%,33.6%
Midwest,"Private, for-profit, 2-year",12,27.6%,24.5%,20.7%,21.8%,22.8%,20.5%,19.7%,6.1%,7.3%,12.4%,14.0%,15.5%,13.5%,0.9%,0.4%,0.0%,0.0%,0.0%,0.0%
Northeast,Overall,1,88.2%,88.6%,89.8%,90.5%,92.1%,93.4%,93.6%,94.0%,95.4%,95.6%,96.0%,96.7%,97.1%,97.4%,97.4%,97.6%,97.6%,97.6%,97.6%
Northeast,All 4-year Institutions,2,88.9%,89.0%,89.5%,90.4%,92.0%,93.4%,93.7%,94.5%,96.1%,96.2%,96.6%,97.1%,97.4%,97.7%,97.6%,97.8%,97.9%,97.8%,97.9%
Northeast,All 2-year Institutions,3,86.3%,87.3%,90.5%,90.9%,92.6%,93.2%,93.2%,92.7%,93.5%,94.1%,94.3%,95.5%,96.3%,96.7%,96.9%,96.8%,96.6%,96.5%,96.5%
Northeast,All Public Institutions,4,93.7%,94.1%,96.1%,96.2%,96.2%,96.6%,96.8%,97.9%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.5%,99.4%,99.4%,99.6%,99.6%
