SAS_NAME,SESTAT_NAME,DESCRIPTION,SOURCE,QUESTION,DOMAIN,SAS_FMT
ACADV,N_ED_REF_WK_ENROLL_REAS_ADVANCEMT,Reason for taking courses during reference week: increase advancement opportunities,CG0: D15.6/CGN: D19.6/CGNR: D15.6,"For which of the following reasons were you taking courses or enrolled? (Response to: To increase opportunities for promotion, advancement or higher salary)","Took courses/enrolled in college/university during the week of February 1, 2023",$YES_NO_CODES
ACCAR,N_ED_REF_WK_ENROLL_REAS_BEGIN_CAREER,Reason for taking courses during reference week: further education before career,CG0: D15.1/CGN: D19.1/CGNR: D15.1,For which of the following reasons were you taking classes or enrolled? (Response to: To gain further education before beginning a career),"Took courses/enrolled in college/university during the week of February 1, 2023",$YES_NO_CODES
ACCCEP,N_ED_REF_WK_EMP_ASSISTANCE,School related costs for course taking paid by employer,CG0: D16/CGN: D20/CGNR: D16,Were any of your school-related costs for taking courses paid for by an employer?,Took courses/enrolled in college/university during reference week,$YES_NO_CODES
ACCHG,N_ED_REF_WK_ENROLL_REAS_CHG_FLD,Reason for taking courses during reference week: change academic/occupational field,CG0: D15.3/CGN: D19.3/CGNR: D15.3,For which of the following reasons were you taking classes or enrolled? (Response to: To change your academic or occupational field),"Took courses/enrolled in college/university during the week of February 1, 2023",$YES_NO_CODES
ACDRG,N_ED_REF_WK_WORK_DEGREE,Type of degree working on during reference week,CG0: D12/CGN: D16/CGNR: D12,Toward what degree were you working?,"Took courses/enrolled in college/university during the week of February 1, 2023",$DEGREE_CODES
ACEM,N_ED_REF_WK_ENROLL_REAS_EMPR_REQ,Reason for taking courses during reference week: expected/required by employer,CG0: D15.7/CGN: D19.7/CGNR: D15.7,For which of the following reasons were you taking classes or enrolled? (Response to: Required or expected by employer),"Took courses/enrolled in college/university during the week of February 1, 2023",$YES_NO_CODES
ACFPT,N_ED_REF_WK_ENROLL_FT_PT_IND,Taking courses/enrolled during reference week: enrollment status,CG0: D11/CGN: D15/CGNR: D11,(If Yes) Were you taking courses or enrolled as ...,"Took courses/enrolled in college/university during the week of February 1, 2023",$FULL_PART_TIME_STUDENT_NEW
ACGRD,N_ED_REF_WK_ENROLL_REAS_PREP_GRAD_SCHL,Reason for taking courses during reference week: prepare for graduate school/further education,CG0: D15.2/CGN: D19.2/CGNR: D15.2,For which of the following reasons were you taking classes or enrolled? (Response to: To prepare for graduate school or further education),"Took courses/enrolled in college/university during the week of February 1, 2023",$YES_NO_CODES
ACINT,N_ED_REF_WK_ENROLL_REAS_PERSONL,Reason for taking courses during reference week: leisure/personal interest,CG0: D15.8/CGN: D19.8/CGNR: D15.8,For which of the following reasons were you taking classes or enrolled? (Response to: For leisure or personal interest),"Took courses/enrolled in college/university during the week of February 1, 2023",$YES_NO_CODES
ACLIC,N_ED_REF_WK_ENROLL_REAS_LICENSING,Reason for taking courses during reference week: licensure/certification,CG0: D15.5/CGN: D19.5/CGNR: D15.5,For which of the following reasons were you taking classes or enrolled? (Response to: For licensure or certification),"Took courses/enrolled in college/university during the week of February 1, 2023",$YES_NO_CODES
ACOT,N_ED_REF_WK_ENROLL_REAS_OTHR,Reason for taking courses during reference week: other,CG0: D15.9/CGN: D19.9/CGNR: D15.9,For which of the following reasons were you taking classes or enrolled? (Response to: Other),"Took courses/enrolled in college/university during the week of February 1, 2023",$YES_NO_CODES
ACSIN,N_ED_REF_WK_ENROLL_IND_REV,Taking courses and/or enrolled during reference week indicator,CG0: D10/CGN: D14/CGNR: D10,"During the week of February 1, 2023, were you enrolled in or taking courses at a college or university?",All respondents,$YES_NO_CODES
ACSKL,N_ED_REF_WK_ENROLL_REAS_ACQ_SKILL,Reason for taking courses during reference week: gain further skills in field,CG0: D15.4/CGN: D19.4/CGNR: D15.4,For which of the following reasons were you taking classes or enrolled? (Response to: To gain further skills or knowledge in your academic or occupational field),"Took courses/enrolled in college/university during the week of February 1, 2023",$YES_NO_CODES
ACTCAP,F_JOB_WRK_ACTIVITY_PRIM_SEC_COMPUTER,Primary/secondary work activity on principal job: computer applications,CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2023",$YES_NO_CODES
ACTDED,F_JOB_WRK_ACTIVITY_PRIM_SEC_DEV_DESIGN,Primary/secondary work activity on principal job: development or design,CG0: RECODE/CGN: RECODE/CGNR: RECODE,Derived within SESTAT from reported information,"Working during the week of February 1, 2023",$YES_NO_CODES
