Value,Description
116710,Computer and information sciences general  
116730,Computer science  
116740,Computer systems analysis  
116760,Information science studies  
116770,Other computer and information sciences  
128410,Applied mathematics  
128420,Mathematics general  
128430,Operations research  
128440,Statistics  
128450,Other mathematics  
216050,Animal sciences  
216060,Food sciences and technology  
216070,Plant sciences  
216080,Agricultural animal plant veterinary science and related fields other  
226310,Biochemistry and biophysics  
226320,Biology general  
226330,Botany and plant biology  
226340,Cell and molecular biology  
226350,Ecology  
226360,Genetics animal and plant  
226370,Microbiological sciences and immunology  
226380,Nutrition sciences  
226390,Pharmacology human and animal  
226400,Physiology pathology and related sciences (human and animal)  
226410,Zoology animal biology  
226420,Other biological sciences  
236800,Environmental science or studies  
236810,Forestry sciences  
318730,Chemistry except biochemistry  
328720,Atmospheric sciences and meteorology  
328740,Geological and earth sciences geosciences  
328760,Geological and earth sciences other including ocean and marine sciences  
338710,Astronomy and astrophysics  
338780,Physics except biophysics  
348790,Other physical sciences  
416010,Agricultural economics  
419230,Economics  
429020,Public policy analysis  
429270,International relations and national security studies  
429280,Political science and government  
437040,Educational psychology  
438910,Clinical psychology  
438920,Counseling psychology  
438930,Experimental psychology  
438940,General psychology  
438950,Industrial/ organizational psychology  
438960,Social psychology  
438970,Other psychology  
449210,Anthropology and archaeology  
449220,Criminology  
449290,Sociology  
456200,Area and ethnic studies  
457710,Linguistics  
458610,History and philosophy of science and technology  
459240,Geography  
459300,Other social sciences  
517210,Aerospace aeronautical and astronautical/ space engineering  
527250,Chemical engineering  
537230,Architectural engineering  
537260,Civil engineering  
547270,Computer engineering and systems engineering  
547280,Electrical electronics and communications engineering  
557330,Industrial and manufacturing engineering  
567350,Mechanical engineering  
577220,Agricultural engineering  
577240,Bioengineering and biomedical engineering  
577290,Engineering sciences mechanics and physics  
577300,Environmental environmental health engineering  
577310,Engineering general  
577340,Materials engineering including ceramics and textiles  
577360,Metallurgical engineering  
577380,Naval architecture and marine engineering  
577390,Nuclear engineering  
577400,Petroleum engineering  
577410,Other engineering including geophysical geological mining and mineral  
617810,Audiology and speech pathology  
617820,Health services administration  
617830,Health/ medical assistants  
617840,Health/ medical technologies  
617850,Medical preparatory programs (e.g. pre-dentistry pre-medical pre-veterinary)  
617860,Medicine (e.g. dentistry optometry osteopathic podiatry veterinary)  
617870,Registered nursing nursing administration nursing research and clinical nursing  
617880,Pharmacy  
617890,Physical therapy and other rehabilitation/ therapeutic services  
617900,Public health (including environmental health and epidemiology)  
617910,Other health/ medical sciences  
627020,Computer teacher education  
627060,Mathematics teacher education  
627090,Science teacher education general science teacher education (includes biology chemistry earth science physics etc.)  
627120,Social science teacher education including psychology teacher education  
636720,Computer programming  
636750,Data processing  
637510,Electrical and electronic technologies  
637520,Industrial production technologies  
637530,Mechanical engineering-related technologies  
637540,Other engineering-related technologies  
646100,Architecture/ environmental design  
646520,Actuarial science  
716020,Agribusiness agricultural business operations  
716510,Accounting  
716530,Business administration and management  
716540,Business commerce general  
716550,Business and managerial economics  
716570,Financial management  
716590,Other business management/ administrative services  
727010,Education administration and supervision  
727030,Counselor education/ school counseling and guidance services  
727050,Elementary education and teaching  
727070,Physical education teaching and coaching  
727080,Pre-school/ kindergarten/ early childhood teacher education  
727100,Secondary teacher education  
727110,Special education and teaching  
727130,Other education  
738620,Philosophy religion theology  
739100,Social work  
746560,Business marketing/ marketing management  
746580,Marketing research  
757600,English language literature and letters  
757720,Other foreign languages and literature  
758200,Liberal arts and sciences  
759260,History  
759410,Drama theatre arts and stagecraft  
759420,Fine and studio arts (all fields)  
759430,Music all fields  
759440,Other visual and performing arts  
766610,Communications general  
766620,Journalism  
766630,Other communication  
766820,Other conservation and natural resources  
766900,Criminal justice and corrections  
768000,Family consumer sciences and human sciences  
768100,Legal professions and studies  
768300,Library science  
768500,Parks recreation leisure fitness and kinesiology  
769010,Public administration  
769030,Public affairs  
769950,Other fields (not listed)  
999989,Logical Skip  
999999,Unknown/Missing  
